date_time,region,count
2015-06-25 00:49:00,Nord-Pas-de-Calais,3
2015-06-25 00:50:00,Bourgogne,3
2015-06-25 00:50:00,Nord-Pas-de-Calais,4
2015-06-25 00:50:00,Pays de la Loire,8
2015-06-25 00:55:00,Bourgogne,1
2015-06-25 00:55:00,Bretagne,4
2015-06-25 00:55:00,Nord-Pas-de-Calais,3
2015-06-25 00:55:00,Pays de la Loire,3
2015-06-25 01:00:00,Bourgogne,4
2015-06-25 01:00:00,Bretagne,5
2015-06-25 01:00:00,Nord-Pas-de-Calais,7
2015-06-25 01:00:00,Pays de la Loire,1
2015-06-25 01:00:16,le-de-France,1
2015-06-25 01:00:20,Bretagne,1
2015-06-25 01:00:21,Nord-Pas-de-Calais,1
2015-06-25 01:01:00,Nord-Pas-de-Calais,2
2015-06-25 01:03:00,le-de-France,3
2015-06-25 01:03:00,Nord-Pas-de-Calais,2
2015-06-25 01:05:00,Basse-Normandie,1
2015-06-25 01:05:00,Bourgogne,1
2015-06-25 01:05:00,Nord-Pas-de-Calais,3
2015-06-25 01:05:00,Pays de la Loire,2
2015-06-25 01:06:00,Bourgogne,1
2015-06-25 01:07:00,Nord-Pas-de-Calais,2
2015-06-25 01:10:00,Bourgogne,3
2015-06-25 01:10:00,Nord-Pas-de-Calais,5
2015-06-25 01:10:00,Pays de la Loire,6
2015-06-25 01:10:00,Picardie,1
2015-06-25 01:11:00,Nord-Pas-de-Calais,1
2015-06-25 01:15:00,Bourgogne,2
2015-06-25 01:15:00,Bretagne,2
2015-06-25 01:15:00,Pays de la Loire,2
2015-06-25 01:15:17,le-de-France,1
2015-06-25 01:15:22,Bretagne,1
2015-06-25 01:15:22,Nord-Pas-de-Calais,1
2015-06-25 01:17:00,Nord-Pas-de-Calais,4
2015-06-25 01:18:00,Nord-Pas-de-Calais,2
2015-06-25 01:20:00,Nord-Pas-de-Calais,5
2015-06-25 01:20:00,Pays de la Loire,1
2015-06-25 01:25:00,Basse-Normandie,1
2015-06-25 01:25:00,Bretagne,3
2015-06-25 01:25:00,Nord-Pas-de-Calais,6
2015-06-25 01:25:00,Pays de la Loire,3
2015-06-25 01:28:00,Picardie,3
2015-06-25 01:29:00,Nord-Pas-de-Calais,2
2015-06-25 01:30:00,Bourgogne,1
2015-06-25 01:30:00,Bretagne,2
2015-06-25 01:30:00,Nord-Pas-de-Calais,4
2015-06-25 01:30:00,Pays de la Loire,3
2015-06-25 01:30:17,le-de-France,1
2015-06-25 01:30:21,Bretagne,1
2015-06-25 01:30:22,Nord-Pas-de-Calais,1
2015-06-25 01:34:00,Nord-Pas-de-Calais,2
2015-06-25 01:35:00,Basse-Normandie,4
2015-06-25 01:35:00,Bourgogne,1
2015-06-25 01:35:00,Bretagne,2
2015-06-25 01:35:00,Nord-Pas-de-Calais,5
2015-06-25 01:35:00,Pays de la Loire,3
2015-06-25 01:39:00,Nord-Pas-de-Calais,1
2015-06-25 01:40:00,Basse-Normandie,2
2015-06-25 01:40:00,Bretagne,1
2015-06-25 01:40:00,Nord-Pas-de-Calais,1
2015-06-25 01:40:00,Pays de la Loire,1
2015-06-25 01:41:00,Nord-Pas-de-Calais,2
2015-06-25 01:45:00,Bretagne,1
2015-06-25 01:45:00,Centre-Val de Loire,1
2015-06-25 01:45:00,Nord-Pas-de-Calais,2
2015-06-25 01:45:00,Pays de la Loire,10
2015-06-25 01:45:16,le-de-France,1
2015-06-25 01:45:20,Bretagne,1
2015-06-25 01:45:21,Nord-Pas-de-Calais,1
2015-06-25 01:46:00,Nord-Pas-de-Calais,4
2015-06-25 01:47:00,Nord-Pas-de-Calais,2
2015-06-25 01:48:00,Nord-Pas-de-Calais,1
2015-06-25 01:49:00,Nord-Pas-de-Calais,1
2015-06-25 01:49:00,Picardie,1
2015-06-25 01:50:00,Bourgogne,1
2015-06-25 01:50:00,Bretagne,3
2015-06-25 01:50:00,Nord-Pas-de-Calais,2
2015-06-25 01:50:00,Pays de la Loire,2
2015-06-25 01:55:00,Bourgogne,2
2015-06-25 01:55:00,Bretagne,1
2015-06-25 01:55:00,Nord-Pas-de-Calais,2
2015-06-25 01:55:00,Pays de la Loire,4
2015-06-25 01:55:00,Picardie,1
2015-06-25 01:58:00,Pays de la Loire,1
2015-06-25 02:00:00,Bourgogne,1
2015-06-25 02:00:00,Bretagne,1
2015-06-25 02:00:00,Pays de la Loire,1
2015-06-25 02:00:16,le-de-France,1
2015-06-25 02:00:20,Bretagne,1
2015-06-25 02:00:21,Nord-Pas-de-Calais,1
2015-06-25 02:05:00,Bourgogne,1
2015-06-25 02:05:00,Bretagne,2
2015-06-25 02:05:00,Nord-Pas-de-Calais,6
2015-06-25 02:05:00,Pays de la Loire,4
2015-06-25 02:06:00,Nord-Pas-de-Calais,2
2015-06-25 02:07:00,Nord-Pas-de-Calais,1
2015-06-25 02:10:00,Centre-Val de Loire,1
2015-06-25 02:10:00,Nord-Pas-de-Calais,7
2015-06-25 02:10:00,Pays de la Loire,1
2015-06-25 02:14:00,Nord-Pas-de-Calais,2
2015-06-25 02:15:00,Bretagne,2
